id;create_at;longitude;latitude;status
1;Cambridgeshire Peso Home;Global Rustic magenta;quantify yellow;DECLINE
2;Wisconsin;program;Account secondary plug-and-play;DECLINE
3;Account Washington;Architect Buckinghamshire;Glens;APPROVE
4;port;scalable compress;Virginia microchip;APPROVE
5;Missouri solid navigating;Account black Tools;feed;DECLINE
6;Steel Administrator Program;Rial Fresh;synthesizing invoice Borders;APPROVE
7;Fresh;superstructure Vista;Associate;APPROVE
8;virtual Central;Books;synergistic Orchestrator Unbranded;APPROVE
9;paradigms;Ergonomic;Cambridgeshire;APPROVE
10;Assurance projection Baby;Handmade Cotton Solutions;TCP Quality-focused;DECLINE
