id;name;device_uuid;platform;version;used_by
1;systemic;1080p;system-worthy;Soap Qatar USB;dfasd
2;Graphical Money;Versatile;bandwidth;Executive;dfasd
3;Lead Leu;Dollar;Product Borders distributed;silver;dfasd
4;Avon global Drives;Central;orchestrate;robust transmitting;dfasd
5;experiences;Pizza;sky Credit multi-byte;Account;dfasd
6;Auto;Terrace Human parse;California Human Washington;Forward Uzbekistan bus;dfasd
7;Nevada;fault-tolerant Technician;Handcrafted value-added Soft;emulation;dfasd
8;port Fantastic Gabon;interface;Hat;Shilling B2C group;dfasd
9;compressing online virtual;Producer withdrawal;virtual;Zimbabwe Borders Forward;dfasd
10;SAS;viral Rustic;bypass;one-to-one experiences interface;dfasd
