id;longitude;latitude;create_at;message;status
1;Shirt;Computers;bypassing Tuna;Concrete Gloves;FAILURE
2;District Managed Plastic;compress interactive;distributed;Way Human Pine;PROCESSING
3;Steel Cotton;International generating Table;efficient morph;indexing Incredible;SUCCESS
4;Soap Shirt Sweden;Senior;Stravenue Agent;Customer Factors;PROCESSING
5;cross-platform Fish compress;Square International Washington;Avon Port;TCP;PROCESSING
6;Plastic Frozen;Union red Car;neural;Clothing blue;FAILURE
7;Borders;Won disintermediate North;Checking Money experiences;Hong out-of-the-box JBOD;PROCESSING
8;Unbranded;system;Intelligent;vortals CSS;FAILURE
9;Som;Connecticut calculate;ROI Quality;violet;PROCESSING
10;SSL invoice;Personal Berkshire;Bike Function-based;Liaison Accounts;FAILURE
