id;name;phone_number;longitude;latitude;address;create_at
1;compressing Loan teal;Refined;yellow;Extended;Metrics SMTP frictionless;purple grey Account
2;analyzer Savings Lead;microchip Africa help-desk;Nebraska cyan supply-chains;CSS and portals;Berkshire;mobile Rubber
3;Prairie Andorra;transform executive info-mediaries;redundant;visualize Borders payment;withdrawal;Ohio National
4;Guinea Ergonomic;Savings;payment Beauty;SSL;withdrawal;Team-oriented Personal
5;Springs;Synchronised Mississippi Tasty;reciprocal Plastic Investor;secondary;Tennessee;Avon Fresh hacking
6;Corporate protocol;circuit;Dong;projection;responsive 24/365 connecting;firewall navigate
7;Loan;Supervisor;Turkey loyalty;Pataca Plastic;Garden Kansas Table;Generic Sports Division
8;invoice;Multi-layered;Fresh copy;Plastic Granite;Account;Sleek invoice
9;user;Egyptian;hard EXE Shirt;Armenian;Hat Rustic;transmitting
10;Lead Croatia;functionalities;productize Assurance;Nakfa;connecting Chicken;Awesome
